PERMNO,date,TICKER,PRC,RETX
29890,2008/10/14,BP,46.71000,0.004516
29890,2008/10/15,BP,41.36000,-0.114536
29890,2008/10/16,BP,44.44000,0.074468
29890,2008/10/17,BP,44.30000,-0.003150
29890,2008/10/20,BP,50.93000,0.149661
29890,2008/10/21,BP,47.27000,-0.071863
29890,2008/10/22,BP,43.25000,-0.085043
29890,2008/10/23,BP,45.06000,0.041850
29890,2008/10/24,BP,42.59000,-0.054816
29890,2008/10/27,BP,40.15000,-0.057290
29890,2008/10/28,BP,46.52000,0.158655
29890,2008/10/29,BP,49.20000,0.057610
29890,2008/10/30,BP,49.58000,0.007724
29890,2008/10/31,BP,49.70000,0.002420
29890,2008/11/03,BP,48.47000,-0.024748
29890,2008/11/04,BP,51.26000,0.057561
29890,2008/11/05,BP,48.95000,-0.045064
29890,2008/11/06,BP,46.98000,-0.040245
29890,2008/11/07,BP,49.49000,0.053427
29890,2008/11/10,BP,48.77000,-0.014548
29890,2008/11/11,BP,47.07000,-0.034858
29890,2008/11/12,BP,42.13000,-0.104950
29890,2008/11/13,BP,44.61000,0.058865
29890,2008/11/14,BP,43.90000,-0.015916
29890,2008/11/17,BP,43.79000,-0.002506
29890,2008/11/18,BP,45.51000,0.039278
29890,2008/11/19,BP,43.38000,-0.046803
29890,2008/11/20,BP,39.56000,-0.088059
29890,2008/11/21,BP,43.34000,0.095551
29890,2008/11/24,BP,46.14000,0.064605
29890,2008/11/25,BP,47.40000,0.027308
29890,2008/11/26,BP,48.37000,0.020464
29890,2008/11/28,BP,48.69000,0.006616
29890,2008/12/01,BP,43.57000,-0.105155
29890,2008/12/02,BP,45.88000,0.053018
29890,2008/12/03,BP,45.33000,-0.011988
29890,2008/12/04,BP,43.33000,-0.044121
29890,2008/12/05,BP,43.52000,0.004385
29890,2008/12/08,BP,45.97000,0.056296
29890,2008/12/09,BP,45.82000,-0.003263
29890,2008/12/10,BP,46.17000,0.007639
29890,2008/12/11,BP,47.14000,0.021009
29890,2008/12/12,BP,47.04000,-0.002121
